C163	CC(=O)N[C@@H]1CC=CC[C@H]1C(F)(F)F
C164	CC(=O)N1CCCC1CN1CCC(C)CC1
C165	CC(=O)N1Cc2cnn(-c3ccccc3)c2C1
C166	CNC(=O)c1ccc(-n2cnc3ccccc3c2=O)cc1
C167	CC(=O)NCc1ccc(N(C)C(=O)c2ccncc2)cc1
C168	CC(=O)N[C@@H]1COC[C@@H]1Oc1cn[nH]c1
C169	CNC(=O)CCc1c[nH]c2cccc(C)c12
C170	CC(=O)N1CC2CN(C)C(c3ccccc3)C2C1
C171	CCN1[C@@H](C)CN(C(C)=O)C[C@H]1C
C172	CC(=O)N[C@H]1C[C@H](c2cc(F)cc(F)c2)C1
C173	CNC(=O)Cn1nnnc1-c1ccsc1
C174	CC(=O)Nc1cnc2c(c1)OCC(=O)N2
C176	CNC(=O)c1cncc(COC)c1
C177	CNC(=O)c1sc(CC(F)(F)F)nc1C
C178	CC(=O)NCCOc1c(C)cccc1C
C179	CC(=O)N1C2CCCC1CC1(C2)NC(=O)NC1=O
C180	CC(=O)NCC1CC2(CC2)S(=O)(=O)N1
C182	CC(=O)NC1(CN2CCN(c3ncccn3)CC2)CC1
C183	CC(=O)NC(C)c1nnc(-c2ccccc2F)s1
C184	CNC(=O)C1CCC2CC(=O)NC2C1
C185	CNC(=O)CC1CS(=O)(=O)c2ccccc2O1
C186	CC(=O)N1CCC(N2CCN(c3ccccc3Cl)CC2)CC1
C187	CNC(=O)c1cnc(Oc2ccccc2)cn1
C189	CCc1nc(C2CN(C(C)=O)Cc3c[nH]nc32)n[nH]1
C190	CC(=O)NCc1oc(C(C)C)nc1C
C191	CC(=O)N1CC(C#N)C2(C1)C(=O)Nc1ccccc12
C193	COc1ccccc1C(NC(C)=O)c1ccccn1
C194	CNC(=O)C1(Cc2ccc(F)cc2)CCCO1
C195	CC(=O)NC(C(C)C)C1(CO)CC=CC1
C196	CC(=O)Nc1cccnc1OCc1ccccc1
C197	CC(=O)N1CCc2c(CN3CCCC3)cccc21
C198	CC(=O)Nc1cc(F)ccc1OCc1cnn(C)c1
C199	CNC(=O)c1cc(CNS(C)(=O)=O)oc1C
C200	COC[C@@H]1CN(C(C)=O)C[C@H]1c1cnn(C)c1
C201	CC(=O)NCc1ccc2c(c1)C(C)C(C)O2
