FragID	X	Y	CeMM	Highlight	MW	HBD	HBA	cLogP	Heteroatoms	Rings	Rot. Bonds	Aromatic Bonds	Acidic Groups	Basic Groups	Atomic Polarizability
C098	-5.2447762	-33.73541	1	0	238.08729078	1.0	2.0	2.2206	4.0	2.0	2.0	6.0	0.0	0.0	36.303895000000004
C099	53.89286	19.653557	1	0	236.061948624	1.0	4.0	2.00002	5.0	2.0	3.0	10.0	0.0	0.0	34.065515999999995
C100	20.934723	11.629809	1	0	235.093246664	2.0	2.0	1.9115000000000002	7.0	1.0	2.0	5.0	0.0	0.0	29.614516
C101	-38.28816	-10.011596	1	0	226.168127944	1.0	2.0	1.1595999999999995	4.0	1.0	3.0	0.0	0.0	0.0	39.593446
C102	-10.826314	-13.838433	1	0	224.035255208	2.0	2.0	1.1942	5.0	2.0	1.0	6.0	0.0	0.0	29.585137000000003
C103	-37.47635	-12.228259	1	0	224.15247788	2.0	2.0	0.6732999999999993	4.0	2.0	1.0	0.0	0.0	0.0	38.25986
C104	31.100807	-17.934547	1	0	224.127325752	1.0	4.0	0.15549999999999958	6.0	2.0	3.0	5.0	0.0	0.0	34.272688
C105	40.832462	-23.838196	1	0	224.116092372	1.0	4.0	0.77722	5.0	2.0	2.0	5.0	0.0	0.0	34.634688000000004
C106	-1.7683035	-38.61751	1	0	223.076391748	0.0	1.0	2.8074000000000012	3.0	2.0	2.0	6.0	0.0	0.0	34.537102000000004
C107	-32.13021	21.761673	1	0	223.118398792	1.0	1.0	2.4912	5.0	1.0	2.0	0.0	0.0	0.0	31.841687999999998
C108	3.9998372	-39.253185	1	0	221.0874351	0.0	2.0	2.605600000000001	3.0	3.0	1.0	5.0	0.0	0.0	35.92389500000001
C109	34.046127	24.599245	1	0	220.096025624	1.0	5.0	-0.33090000000000086	6.0	2.0	2.0	10.0	0.0	0.0	31.605516000000005
C110	20.749264	5.353616	1	0	218.086684064	1.0	3.0	1.9834	6.0	1.0	3.0	5.0	0.0	0.0	28.759516
C111	29.973837	-0.7705001	1	0	214.077598688	1.0	4.0	0.6627399999999999	5.0	1.0	3.0	5.0	0.0	0.0	31.879102000000003
C112	48.4916	28.864176	1	0	214.110613068	2.0	1.0	1.9651	3.0	2.0	3.0	11.0	0.0	0.0	35.217102000000004
C113	-46.19459	-4.236259	1	0	214.131742436	1.0	4.0	-1.0897999999999985	5.0	2.0	1.0	0.0	0.0	1.0	34.20827400000001
C114	-34.445217	-11.229358	1	0	198.100442308	2.0	3.0	-1.2842999999999993	5.0	2.0	0.0	0.0	0.0	0.0	29.781101999999997
C115	-50.856594	-8.1180725	1	0	196.15756326	1.0	2.0	0.9952999999999996	3.0	2.0	2.0	0.0	0.0	1.0	35.697860000000006
C116	32.985985	-14.638872	1	0	193.085126592	1.0	3.0	-0.05957999999999991	5.0	2.0	0.0	6.0	0.0	0.0	28.078723000000004
C117	-47.787067	-3.7086318	1	0	182.141913196	0.0	2.0	0.7029999999999996	3.0	2.0	0.0	0.0	0.0	1.0	32.604274000000004
C119	1.212716	62.836113	1	0	305.05039796000005	2.0	5.0	-0.35607999999999995	9.0	2.0	3.0	5.0	0.0	0.0	39.909895
C120	26.174583	28.709543	1	0	301.131408088	1.0	4.0	2.10342	5.0	3.0	3.0	11.0	0.0	0.0	46.89706700000001
C121	42.57614	29.974802	1	0	281.104337812	1.0	5.0	2.0680199999999997	7.0	2.0	4.0	10.0	0.0	0.0	40.27068800000001
C122	-19.076107	-11.775795	1	0	275.126991404	2.0	3.0	0.5080199999999997	6.0	2.0	3.0	6.0	0.0	0.0	41.681481000000005
C123	-12.331363	43.938522	1	0	272.1194635	0.0	3.0	0.5638000000000001	6.0	3.0	1.0	0.0	0.0	0.0	41.96186
C125	-48.649258	-1.6560667	1	0	265.215412484	0.0	3.0	0.8824000000000005	4.0	3.0	2.0	0.0	0.0	2.0	48.50541100000001
C126	29.61287	-17.409529	1	0	265.142641468	0.0	5.0	1.0834000000000001	6.0	3.0	2.0	5.0	0.0	0.0	41.25506700000001
C128	-17.54239	45.953693	1	0	260.1194635	2.0	3.0	0.5155000000000001	6.0	2.0	4.0	0.0	0.0	0.0	40.20186
C129	50.965424	19.6669	1	0	255.100776656	0.0	4.0	2.19158	5.0	2.0	3.0	11.0	0.0	0.0	38.21230900000001
C130	-3.5979435	-30.23966	1	0	247.120843404	1.0	3.0	2.045	4.0	3.0	3.0	6.0	0.0	0.0	39.481481
C131	-16.718626	-12.524526	1	0	247.095691276	3.0	3.0	0.9155999999999997	6.0	2.0	2.0	6.0	0.0	0.0	35.494309
