Q13619	Other
Q9NTM9	Other
O14529	Transcription Factor
O14529	Transcription Factor
O14529	Transcription Factor
O14529	Transcription Factor
O14529	Transcription Factor
P19875	Other
P19875	Other
P19875	Other
P19875	Other
P42830	Other
P42830	Other
P42830	Other
P42830	Other
P32302	GPCR
P32302	GPCR
P32302	GPCR
P32302	GPCR
P32302	GPCR
P32302	GPCR
Q9NTQ9	Other
Q9NTQ9	Other
Q9NTQ9	Other
Q9NTQ9	Other
O43927	Other
O43927	Other
O43927	Other
O43927	Other
O95715	Other
Q6UXB2	Other
Q6UXB2	Other
O15255	Other
P49447	Other
P49447	Other
P49447	Other
P49447	Other
P49447	Other
P04839	Ion Channel
P04839	Ion Channel
P04839	Ion Channel
P04839	Ion Channel
Q53TN4	Enzyme
Q53TN4	Enzyme
Q53TN4	Enzyme
Q53TN4	Enzyme
Q53TN4	Enzyme
O95674	Enzyme
Q5SZL2	Other
Q2WEN9	Other
A8MTB9	Other
Q9UPV0	Other
A6NDU8	Other
Q03701	Other
Q03701	Other
Q03701	Other
Q9HCU4	GPCR
Q9HCU4	GPCR
Q9HCU4	GPCR
Q9HCU4	GPCR
Q9HCU4	GPCR
Q711Q0	Other
Q16739	Enzyme
Q16739	Enzyme
Q16739	Enzyme
Q16739	Enzyme
Q16739	Enzyme
Q96LK0	Other
Q9BS16	Other
P07199	Other
Q9NYQ6	GPCR
Q9NYQ6	GPCR
Q9NYQ6	GPCR
Q9NYQ6	GPCR
Q9NYQ6	GPCR
Q9BU64	Other
O15182	Other
O15182	Other
O15182	Other
O15182	Other
O15182	Other
O15182	Other
O15182	Other
O15182	Other
O15182	Other
O15182	Other
Q4VX62	Other
Q6ZQR2	Other
Q6P656	Other
Q8IZ16	Other
Q6ZUL3	Other
E5RJ46	Other
Q96KT6	Other
Q96MT7	Other
Q8N6G5	Enzyme
Q8N6G5	Enzyme
Q8N6G5	Enzyme
Q8N6G5	Enzyme
Q8N6G5	Enzyme
Q8N1V2	Other
Q96NF6	Other
Q5T655	Other
P61604	Other
P61604	Other
P61604	Other
P61604	Other
P09622	Enzyme
P09622	Enzyme
P09622	Enzyme
P09622	Enzyme
P09622	Enzyme
Q9BUK0	Other
Q12873	Epigenetic
Q8TBE1	Other
Q8TBE1	Other
Q8TBE1	Other
Q8TBE1	Other
Q8IV77	Ion Channel
Q8IV77	Ion Channel
Q8IV77	Ion Channel
Q8IV77	Ion Channel
Q8IV77	Ion Channel
Q9P003	Other
Q9P003	Other
Q9P003	Other
Q14028	Ion Channel
Q14028	Ion Channel
Q14028	Ion Channel
Q14028	Ion Channel
Q14028	Ion Channel
Q14028	Ion Channel
Q14028	Ion Channel
Q14028	Ion Channel
Q14028	Ion Channel
Q14028	Ion Channel
P04440	Other
P04440	Other
P04440	Other
P04440	Other
P51911	Other
P51911	Other
P51911	Other
P51911	Other
P51911	Other
Q86SG4	Other
Q86SG4	Other
Q86SG4	Other
Q86SG4	Other
Q86SG4	Other
Q9NRU3	Other
Q9BV87	Other
O75175	Other
O75175	Other
O75175	Other
O95628	Other
O95628	Other
O95628	Other
P21554	GPCR
P21554	GPCR
P21554	GPCR
