"","Accession","fp_only_abs_sum","Gene_Symbol","comparison","Abundance_Ratio_log2_","selected_pvalues"
"87","Q9H6V9",13.31,"LDAH","PC_C391_F__CRF",4.63,1.12126346359931e-05
"88","Q9H6V9",13.31,"LDAH","screen_C391_F__CRF",5.28,2.739e-05
"89","P22830",13.25,"FECH","PC_C391_E1_20x__PC_C391_F",-1.76,0.00450927369141951
"90","P22830",13.25,"FECH","PC_C391_E10_20x__PC_C391_F",-0.65,0.418203965434056
"91","P22830",13.25,"FECH","PC_C391_E4_20x__PC_C391_F",-1.28,0.0294691035835259
"92","P22830",13.25,"FECH","PC_C391_E6_20x__PC_C391_F",-2.27,0.00081829389767706
"93","P22830",13.25,"FECH","PC_C391_E8_20x__PC_C391_F",-0.8,0.236620626013157
"94","P22830",13.25,"FECH","PC_C391_E9_20x__PC_C391_F",-2.24,0.00087115061781262
"95","P22830",13.25,"FECH","PC_C391_F__CRF",4.25,7.98616927089046e-06
"96","P22830",13.25,"FECH","screen_C391_F__CRF",5.6,5.9e-07
"97","Q00537",13.13,"CDK17","PC_C391_E1_20x__PC_C391_F",-1.85,0.0030661057192356
"98","Q00537",13.13,"CDK17","PC_C391_E10_20x__PC_C391_F",-1.51,0.0109759789244386
"99","Q00537",13.13,"CDK17","PC_C391_E4_20x__PC_C391_F",-1.88,0.00276693243144033
"100","Q00537",13.13,"CDK17","PC_C391_E6_20x__PC_C391_F",-2.16,0.00107465047126554
"101","Q00537",13.13,"CDK17","PC_C391_E8_20x__PC_C391_F",-1.55,0.0092549704217848
"102","Q00537",13.13,"CDK17","PC_C391_E9_20x__PC_C391_F",-1,0.0970009934588268
"103","Q00537",13.13,"CDK17","PC_C391_F__CRF",3.18,6.53516021709155e-05
"104","Q00537",13.13,"CDK17","screen_C391_F__CRF",NA,NA
"105","P36639",12.99,"NUDT1","PC_C391_E1_20x__PC_C391_F",-1.77,0.0343423625889847
"106","P36639",12.99,"NUDT1","PC_C391_E10_20x__PC_C391_F",-0.72,0.676323634420846
"107","P36639",12.99,"NUDT1","PC_C391_E4_20x__PC_C391_F",-1.59,0.059781099231596
"108","P36639",12.99,"NUDT1","PC_C391_E6_20x__PC_C391_F",-2.25,0.00885466627593345
"109","P36639",12.99,"NUDT1","PC_C391_E8_20x__PC_C391_F",-1.31,0.140128792459396
"110","P36639",12.99,"NUDT1","PC_C391_E9_20x__PC_C391_F",-2.19,0.0105110921126296
"111","P36639",12.99,"NUDT1","PC_C391_F__CRF",3.16,0.00094817396116564
"112","P36639",12.99,"NUDT1","screen_C391_F__CRF",4.62,0.00328538
"113","Q9BWD1",12.67,"ACAT2","PC_C391_E1_20x__PC_C391_F",-1.47,0.045649995639813
"114","Q9BWD1",12.67,"ACAT2","PC_C391_E10_20x__PC_C391_F",-0.85,0.378300927768061
"115","Q9BWD1",12.67,"ACAT2","PC_C391_E4_20x__PC_C391_F",-1.58,0.0314768238707305
"116","Q9BWD1",12.67,"ACAT2","PC_C391_E6_20x__PC_C391_F",-2.17,0.0047783027621966
