fid,smiles,tert_amine,proj_x,proj_y,sign_0,sign_1,sign_2,sign_3,sign_4,sign_5,sign_6,sign_7,sign_8,sign_9
C059,C#CCCC1(CCNC(=O)C23CC4(C)CC(C)(CC(O)(C4)C2)C3)N=N1,0,-0.2637688,3.0270753,0.0,0.0,0.0,0.433386874420878,0.0,0.0,0.0,0.0426371892393502,0.0194491067079349,0.0
C060,C#CCCC1(CCC(=O)NCC23CC4CC(C2)CC(OC)(C4)C3)N=N1,0,1.6631178,-4.5441837,0.07706535947675,0.0,0.0489980706558251,0.0292313591100154,0.0,0.0,0.1312304574067991,0.0,0.2781655233214169,0.0
C061,C#CCCC1(CCNC(=O)C(C)S(=O)(=O)C2CCOCC2)N=N1,0,-2.8289475,-7.083087,0.0,0.0,0.0720256045803287,0.0,0.0340776213559789,0.028429244065235,0.0,0.0533875144971039,0.1529851912790605,0.0
C062,C#CCCC1(CCC(=O)N2CC3CC2C3c2ocnc2C(N)=O)N=N1,0,14.710448,-0.3782547,0.0,0.2836346130534297,0.0,0.5020013675939337,0.0,0.3486145740799599,0.0,0.0,0.0,0.0
C063,C#CCCC1(CCNC(=O)[C@@H]2C[C@H]2c2nn(C)c3ccccc23)N=N1,0,-10.899333,1.1295689,0.0,0.0269372040705637,0.0,0.0,0.0886039859070545,0.0039124323073096,0.655164386043672,0.0053686857666155,0.0425866766645866,0.1046971769264674
C064,C#CCCC1(CCNC(=O)Cn2nc(C(F)F)c3c2CCC3)N=N1,0,-0.9987365,3.2482498,0.0,0.0,0.0371807915112363,0.378004253461806,0.0011242085145876,0.0,0.0,0.0484918675046498,0.0,0.0091876702312156
C065,C#CCCC1(CCNC(=O)CNC(=O)c2cc(F)cc(F)c2)N=N1,0,1.3084025,-0.32044902,0.0,0.0,0.0,0.3852451526481535,0.0,0.0,0.0,0.0,0.2255142046730375,0.0230756671041603
C066,C#CCCC1(CCC(=O)N2[C@H](C(=O)N(C)C)C[C@@H]3OCC[C@@H]32)N=N1,0,15.253846,-0.9545387,0.0,0.0,0.0,0.5250537180796849,0.0,0.4028709802887597,0.0,0.0342623593385375,0.0,0.0
C067,C#CCCC1(CCNC(=O)C2CCC(OC(F)(F)F)CC2)N=N1,0,7.942603,13.744164,0.5218954138623445,0.0,0.059639940919856,0.0,0.0,0.0,0.4912805777344329,0.0,0.0,0.0
C068,C#CCCC1(CCC(=O)NC2CCN(C3CCCCC3)C2=O)N=N1,0,1.0837165,-4.507139,0.051088240496362,0.0,0.0439741994771468,0.0,0.0,0.0,0.0728470780560117,0.0,0.2476789024119112,0.0
C069,C#CCCC1(CCC(=O)N2CC3CC2CC3(O)C(F)(F)F)N=N1,0,1.1546485,-3.8075736,0.0644141987199334,0.0098556031259971,0.0,0.0997963585206802,0.0,0.0,0.1455484004889937,0.0,0.1334041661306886,0.0
C070,C#CCCC1(CCNC(=O)c2sc(C3CC3)nc2C2CC2)N=N1,0,-11.728466,2.2005236,0.0339551585019482,0.0,0.2940631150466317,0.0,0.2682759899015908,0.0,0.6717861963054129,0.3369954536684169,0.0,0.0
C071,C#CCCC1(CCNC(=O)Cc2csc(-c3ccoc3)n2)N=N1,0,-9.4408655,-2.441208,0.0,0.0,0.0540992280659752,0.0,0.2010631889690177,0.0,0.1641578231517196,0.0,0.0259791648257327,0.0
C072,C#CCCC1(CCNC(=O)Cc2ccc(-n3cccc3)cc2)N=N1,0,7.828387,12.046232,0.2773272324947288,0.0,0.0527148449056201,0.0,0.2009872076100798,0.0002548489381896,0.3605170197383738,0.0,0.0,0.3668281592498842
C073,C#CCCC1(CCC(=O)N2C[C@H]3CN(C)CC[C@@]3(CO)C2)N=N1,1,9.061973,-15.211493,0.0,0.0,0.8900366399233614,0.0,0.0,0.0152610409275274,0.0125295817465854,0.0,0.0,0.0
C074,C#CCCC1(CCC(=O)N2CCC(O)(c3c[nH]nn3)CC2)N=N1,0,-2.2972546,-3.2135906,0.0,0.0134895364108643,0.0142316700151912,0.1476595722418341,0.0120783475411173,0.0023017174010686,0.0361557911211997,0.0,0.057474575462786,0.0
C075,C#CCCC1(CCC(=O)NC(C2CC2(C)C)C(F)(F)F)N=N1,0,6.764997,-12.851478,0.1006436458430602,0.0,0.3394437048563902,0.0,0.0,0.0,0.0,0.034543972284087,0.0,0.0
C076,C#CCCC1(CCC(=O)NCCNC(=O)c2cnccn2)N=N1,0,-2.9847705,3.6710598,0.0,0.0,0.0,0.7001252279017111,0.0,0.0,0.0,0.0202796683009876,0.0,0.0
C077,C#CCCC1(CCC(=O)NCc2cc(O)n3nccc3n2)N=N1,0,7.325784,0.3775868,0.0,0.2066370545603493,0.1735079997082078,0.0,1.1179267951991805,0.0,0.0,0.0,0.0,0.0
