fragId,SMILES,SMILES Naked,HBD,HBA,cLogP,Heteroatoms,Rings,Rot. Bonds,Aromatic Bonds,Acidic Groups,Basic Groups,Atomic Polarizability
C235,C#CCCC1(CCC(=O)Nc2ccc3oc(C(F)(F)F)cc(=O)c3c2)N=N1,CC(=O)Nc1ccc2oc(C(F)(F)F)cc(=O)c2c1,1,3,2.770200000000001,7,2,1,11,0,0,31.631344000000002
C236,C#CCCC1(CCC(=O)N2CCCC(c3n[nH]cc3NS(C)(=O)=O)C2)N=N1,CC(=O)N1CCCC(c2n[nH]cc2NS(C)(=O)=O)C1,2,4,0.5071,8,2,3,5,0,0,41.068274
C237,C#CCCC1(CCC(=O)N2C[C@@H](C)N(CC)[C@@H](C)C2)N=N1,CCN1CC(NC(C)=O)C(C)(C)C1,1,2,0.8527999999999996,3,1,2,0,0,1,33.93786
C238,C#CCCC1(CCC(=O)NC(Cn2cnc3ccccc32)c2ccc(F)cc2)N=N1,CC(=O)NC(Cn1cnc2ccccc21)c1ccc(F)cc1,1,3,3.0528000000000013,5,3,4,16,0,0,45.24768800000001
C239,C#CCCC1(CCC(=O)Nc2cccc3c2oc(=O)n3C)N=N1,CC(=O)Nc1cccc2c1oc(=O)n2C,1,4,1.0898999999999996,5,2,1,10,0,0,28.873930000000005
C240,C#CCCC1(CCC(=O)NCCc2cc(C(F)(F)F)co2)N=N1,CC(=O)NCCc1cc(C(F)(F)F)co1,1,2,1.977,6,1,3,5,0,0,26.882929999999998
C241,C#CCCC1(CCC(=O)NC23CC(N4CCCCC4=O)(C2)C3)N=N1,CC(=O)NC12CC(N3CCCCC3=O)(C1)C2,1,2,0.8100999999999996,4,4,2,0,0,0,36.92627400000001
C242,C#CCCC1(CCC(=O)N2CCn3cc(C(F)(F)F)nc3C2C)N=N1,CC(=O)N1CCn2cc(C(F)(F)F)nc2C1C,0,3,1.8250000000000002,7,2,0,5,0,0,31.374516000000003
C243,C#CCCC1(CCC(=O)NC2(c3nc4cc(Cl)ccc4o3)CCC2)N=N1,CC(=O)NC1(c2nc3cc(Cl)ccc3o2)CCC1,1,3,2.996500000000001,5,3,2,10,0,0,37.532309000000005
C244,C#CCCC1(CCNC(=O)C2=NN(c3ccc(F)cc3)C(C(N)=O)C2)N=N1,CNC(=O)C1=NN(c2ccc(F)cc2)C(C(N)=O)C1,2,4,-0.008300000000000085,7,2,3,6,0,0,36.349309000000005
C245,C#CCCC1(CCC(=O)NC2CCc3cccc4cccc2c34)N=N1,CC(=O)NC1CCc2cccc3cccc1c23,1,1,2.9632000000000014,2,3,1,11,0,0,38.303895
C246,C#CCCC1(CCC(=O)NC2C3Cc4cc(Cl)ccc4C32)N=N1,CC(=O)NC1C2Cc3cc(Cl)ccc3C21,1,1,2.1142,3,3,1,6,0,0,33.20351600000001
C247,C#CCCC1(CCC(=O)NC2CC(=O)N(CC(F)(F)F)C2)N=N1,CC(=O)NC1CC(=O)N(CC(F)(F)F)C1,1,2,0.28570000000000007,7,1,2,0,0,0,26.889723000000004
C248,C#CCCC1(CCC(=O)NCC2(O)CC(OCC)C2(C)C)N=N1,CCOC1CC(O)(CNC(C)=O)C1(C)C,2,3,0.6885999999999994,4,1,4,0,0,0,36.868653
C249,C#CCCC1(CCNC(=O)c2cc(F)cc3nc(C)c(C)nc23)N=N1,CNC(=O)c1cc(F)cc2nc(C)c(C)nc12,1,3,1.74534,5,2,1,11,0,0,33.780516000000006
C250,C#CCCC1(CCC(=O)NCC2(CO)COCC3COCCN32)N=N1,CC(=O)NCC1(CO)COCC2COCCN21,2,5,-1.4153999999999975,6,2,3,0,0,1,38.103860000000005
C251,C#CCCC1(CCNC(=O)CC2=NN(c3cccc(Cl)c3)C(=O)C2)N=N1,CNC(=O)CC1=NN(c2cccc(Cl)c2)C(=O)C1,1,3,1.5688,6,2,3,6,0,0,36.205516
C252,C#CCCC1(CCC(=O)Nc2nnc3n(Cc4cccc(OC)c4)[nH]c(C)c2-3)N=N1,COc1cccc(Cn2[nH]c(C)c3c(NC(C)=O)nnc2-3)c1,2,5,2.0347199999999996,7,3,4,14,0,0,44.839481000000006
C253,C#CCCC1(CCC(=O)NCCS(=O)(=O)N2CCOCC2)N=N1,CC(=O)NCCS(=O)(=O)N1CCOCC1,1,4,-1.2154999999999985,7,1,4,0,0,0,33.05668800000001
C254,C#CCCC1(CCC(=O)N2CC3(CC(S(C)(=O)=O)C3)C2)N=N1,CC(=O)N1CC2(CC(S(C)(=O)=O)C2)C1,0,3,0.04190000000000027,5,2,1,0,0,0,32.247895
C255,C#CCCC1(CCC(=O)NC(C)c2c(OC)nsc2OC)N=N1,COc1nsc(OC)c1C(C)NC(C)=O,1,5,1.3574,6,1,4,5,0,0,32.681102
C256,C#CCCC1(CCNC(=O)C2C3CCN(CC3)S2(=O)=O)N=N1,CNC(=O)C12CCN(CC1)S(=O)(=O)C2,1,3,-0.8419999999999992,6,3,1,0,0,0,30.921102000000005
